entity,code,min_long,max_long
Saint Lucia,LCA,-61.073144531249994,-60.88676757812499
Saint Martin,MAF,-63.123046875,-63.009423828124994
Saint Pierre and Miquelon,SPM,-56.3869140625,-56.25546874999999
Saint Vincent and the Grenadines,VCT,-61.277294921875,-61.1240234375
Samoa,WSM,-172.778515625,-172.17685546875
San Marino,SMR,12.396875000000023,12.5146484375
Saudi Arabia,SAU,34.6162109375,55.64101562500002
Senegal,SEN,-17.53564453125,-11.382421874999977
Seychelles,SYC,55.383398437500006,55.54296875
Siachen Glacier,KAS,76.76689453124999,77.79941406250003
Sierra Leone,SLE,-13.292675781249983,-10.283203125
Singapore,SGP,103.65019531249999,103.99638671874999
Sint Maarten,SXM,-63.12470703125,-63.011181640625
Slovakia,SVK,16.862695312500023,22.538671875000006
Slovenia,SVN,13.378222656250017,16.516210937500006
Solomon Islands,SLB,159.607421875,160.81894531250003
Somalia,SOM,40.964453125000006,51.390234375000006
Somaliland,SOL,42.65644531250001,48.938574218750006
South Africa,ZAF,16.447558593750017,32.88613281250002
South Georgia and the Islands,SGS,-38.017431640625006,-35.798583984375
South Korea,KOR,126.16054687500002,129.57285156250003
South Sudan,SSD,24.147363281250023,35.26835937500002
Spain,ESP,-9.235644531249989,3.3067382812500057
Sri Lanka,LKA,79.70781249999999,81.876953125
Sudan,SDN,21.825292968750006,38.609472656250006
Suriname,SUR,-58.05449218749999,-53.990478515625
Sweden,SWE,11.147167968750011,24.15546875000001
Switzerland,CHE,5.970019531250017,10.45458984375
Syria,SYR,35.76445312500002,42.35908203125001
São Tomé and Principe,STP,6.468164062500023,6.75
Taiwan,TWN,120.07246093750001,121.92900390624999
Tajikistan,TJK,67.349609375,75.11875
Thailand,THA,97.37392578125002,105.64101562500002
The Bahamas,BHS,-78.435302734375,-77.735107421875
Togo,TGO,-0.09018554687497726,1.7779296875000057
Tonga,TON,-175.362353515625,-175.078173828125
Trinidad and Tobago,TTO,-61.90610351562499,-60.917626953124994
Tunisia,TUN,7.49560546875,11.535937500000017
Turkey,TUR,26.095996093750017,44.81718750000002
Turkmenistan,TKM,52.49384765625001,66.62929687500002
Turks and Caicos Islands,TCA,-71.84765625,-71.6369140625
Tuvalu,TUV,179.19570312500002,179.21660156250005
Uganda,UGA,29.561914062500023,34.97822265625001
Ukraine,UKR,22.1318359375,40.12832031250002
United Arab Emirates,ARE,51.568359375,56.38798828125002
United Kingdom,GBR,-6.133691406249994,1.74658203125
United Republic of Tanzania,TZA,29.32343750000001,40.46357421875001
United States Virgin Islands,VIR,-64.889111328125,-64.58046875
United States of America,USA,-124.7099609375,-66.98701171875
